gpu.id,timestamp,utilization.gpu,memory.used,memory.total,power.draw,temperature.gpu,clocks.sm
0, 2025/05/21 12:18:49.360, 0, 1, 40960, 61.44, 30, 1095
1, 2025/05/21 12:18:49.361, 0, 1, 40960, 59.24, 29, 1095
2, 2025/05/21 12:18:49.361, 0, 1, 40960, 53.32, 29, 210
3, 2025/05/21 12:18:49.362, 0, 1, 40960, 55.03, 29, 210
0, 2025/05/21 12:18:50.363, 0, 1, 40960, 61.44, 30, 1095
1, 2025/05/21 12:18:50.363, 0, 1, 40960, 59.24, 29, 1095
2, 2025/05/21 12:18:50.363, 0, 1, 40960, 53.32, 29, 210
3, 2025/05/21 12:18:50.364, 0, 1, 40960, 55.03, 29, 210
0, 2025/05/21 12:18:51.364, 0, 1, 40960, 61.38, 30, 1095
1, 2025/05/21 12:18:51.364, 0, 1, 40960, 59.24, 29, 1095
2, 2025/05/21 12:18:51.364, 0, 1, 40960, 53.32, 29, 210
3, 2025/05/21 12:18:51.365, 0, 1, 40960, 55.03, 29, 210
0, 2025/05/21 12:18:52.365, 0, 1, 40960, 61.38, 30, 1095
1, 2025/05/21 12:18:52.365, 0, 1, 40960, 59.18, 29, 1095
2, 2025/05/21 12:18:52.366, 0, 1, 40960, 53.27, 29, 210
3, 2025/05/21 12:18:52.366, 0, 1, 40960, 54.97, 29, 210
0, 2025/05/21 12:18:53.366, 0, 1, 40960, 62.87, 30, 1095
1, 2025/05/21 12:18:53.366, 0, 1, 40960, 59.24, 29, 1095
2, 2025/05/21 12:18:53.367, 0, 1, 40960, 53.32, 29, 210
3, 2025/05/21 12:18:53.368, 0, 1, 40960, 55.35, 29, 210
0, 2025/05/21 12:18:54.370, 0, 5, 40960, 61.38, 30, 1095
1, 2025/05/21 12:18:54.371, 0, 5, 40960, 58.97, 29, 1095
2, 2025/05/21 12:18:54.371, 0, 5, 40960, 53.32, 29, 210
3, 2025/05/21 12:18:54.371, 0, 5, 40960, 55.03, 29, 210
0, 2025/05/21 12:18:55.371, 0, 21, 40960, 62.26, 30, 1095
1, 2025/05/21 12:18:55.376, 0, 22, 40960, 59.85, 29, 1095
2, 2025/05/21 12:18:55.394, 0, 21, 40960, 58.06, 29, 1050
3, 2025/05/21 12:18:55.401, 0, 21, 40960, 60.10, 29, 1050
0, 2025/05/21 12:18:56.421, 1, 533, 40960, 61.38, 30, 1095
1, 2025/05/21 12:18:56.421, 2, 533, 40960, 58.97, 29, 1095
2, 2025/05/21 12:18:56.421, 0, 533, 40960, 58.06, 29, 1050
3, 2025/05/21 12:18:56.422, 2, 533, 40960, 59.42, 30, 1050
0, 2025/05/21 12:18:57.422, 0, 609, 40960, 61.38, 30, 1095
1, 2025/05/21 12:18:57.422, 0, 609, 40960, 58.97, 29, 1095
2, 2025/05/21 12:18:57.423, 0, 609, 40960, 58.06, 29, 1050
3, 2025/05/21 12:18:57.423, 0, 609, 40960, 59.42, 30, 1050
0, 2025/05/21 12:18:58.423, 0, 897, 40960, 61.38, 30, 1095
1, 2025/05/21 12:18:58.423, 0, 897, 40960, 59.24, 29, 1095
2, 2025/05/21 12:18:58.424, 0, 897, 40960, 58.06, 29, 1050
3, 2025/05/21 12:18:58.424, 1, 897, 40960, 59.42, 30, 1050
0, 2025/05/21 12:18:59.424, 0, 909, 40960, 61.38, 30, 1095
1, 2025/05/21 12:18:59.425, 0, 909, 40960, 59.24, 29, 1095
2, 2025/05/21 12:18:59.425, 0, 909, 40960, 58.06, 29, 1050
3, 2025/05/21 12:18:59.425, 0, 909, 40960, 59.42, 30, 1050
0, 2025/05/21 12:19:00.426, 0, 909, 40960, 61.38, 30, 1095
1, 2025/05/21 12:19:00.426, 0, 909, 40960, 59.24, 29, 1095
2, 2025/05/21 12:19:00.426, 0, 909, 40960, 58.06, 29, 1050
3, 2025/05/21 12:19:00.426, 0, 909, 40960, 59.21, 30, 1050
0, 2025/05/21 12:19:01.426, 0, 911, 40960, 61.38, 30, 1095
1, 2025/05/21 12:19:01.427, 0, 911, 40960, 59.24, 29, 1095
2, 2025/05/21 12:19:01.427, 0, 911, 40960, 57.78, 29, 1050
3, 2025/05/21 12:19:01.427, 0, 911, 40960, 59.42, 30, 1050
0, 2025/05/21 12:19:02.428, 0, 911, 40960, 61.38, 30, 1095
1, 2025/05/21 12:19:02.428, 0, 911, 40960, 59.24, 29, 1095
2, 2025/05/21 12:19:02.428, 0, 911, 40960, 57.78, 29, 1050
3, 2025/05/21 12:19:02.428, 0, 911, 40960, 59.49, 30, 1050
0, 2025/05/21 12:19:03.429, 0, 911, 40960, 61.71, 30, 1095
1, 2025/05/21 12:19:03.429, 0, 911, 40960, 59.24, 29, 1095
2, 2025/05/21 12:19:03.429, 0, 911, 40960, 58.06, 29, 1050
3, 2025/05/21 12:19:03.430, 0, 911, 40960, 59.49, 30, 1050
0, 2025/05/21 12:19:04.430, 0, 911, 40960, 61.38, 30, 1095
1, 2025/05/21 12:19:04.430, 0, 911, 40960, 59.24, 29, 1095
2, 2025/05/21 12:19:04.431, 0, 911, 40960, 58.06, 29, 1050
3, 2025/05/21 12:19:04.431, 0, 911, 40960, 59.49, 30, 1050
0, 2025/05/21 12:19:05.431, 0, 911, 40960, 61.38, 30, 1095
1, 2025/05/21 12:19:05.431, 0, 911, 40960, 59.24, 29, 1095
2, 2025/05/21 12:19:05.432, 0, 911, 40960, 58.06, 29, 1050
3, 2025/05/21 12:19:05.432, 0, 911, 40960, 59.42, 30, 1050
0, 2025/05/21 12:19:06.432, 0, 911, 40960, 61.38, 30, 1095
1, 2025/05/21 12:19:06.432, 0, 911, 40960, 59.24, 29, 1095
2, 2025/05/21 12:19:06.433, 0, 911, 40960, 57.78, 29, 1050
3, 2025/05/21 12:19:06.433, 0, 911, 40960, 59.42, 30, 1050
0, 2025/05/21 12:19:07.433, 0, 911, 40960, 61.38, 30, 1095
1, 2025/05/21 12:19:07.434, 0, 911, 40960, 59.58, 29, 1095
2, 2025/05/21 12:19:07.434, 0, 911, 40960, 58.06, 29, 1050
3, 2025/05/21 12:19:07.434, 0, 911, 40960, 59.42, 30, 1050
0, 2025/05/21 12:19:08.434, 0, 931, 40960, 61.38, 30, 1095
1, 2025/05/21 12:19:08.435, 0, 931, 40960, 59.58, 29, 1095
2, 2025/05/21 12:19:08.435, 0, 931, 40960, 58.06, 29, 1050
3, 2025/05/21 12:19:08.435, 0, 931, 40960, 59.42, 30, 1050
0, 2025/05/21 12:19:09.436, 0, 931, 40960, 61.38, 30, 1095
1, 2025/05/21 12:19:09.436, 0, 931, 40960, 59.18, 29, 1095
2, 2025/05/21 12:19:09.436, 0, 931, 40960, 58.00, 29, 1050
3, 2025/05/21 12:19:09.437, 0, 931, 40960, 59.42, 30, 1050
0, 2025/05/21 12:19:10.437, 0, 1009, 40960, 61.71, 30, 1095
1, 2025/05/21 12:19:10.437, 0, 1009, 40960, 59.18, 29, 1095
2, 2025/05/21 12:19:10.437, 0, 1009, 40960, 58.00, 29, 1050
3, 2025/05/21 12:19:10.438, 0, 1009, 40960, 60.03, 30, 1050
0, 2025/05/21 12:19:11.438, 0, 1009, 40960, 61.38, 30, 1095
