gpu.id,timestamp,utilization.gpu,memory.used,memory.total,power.draw,temperature.gpu,clocks.sm
0, 2025/05/14 15:55:51.194, 0, 1, 40960, 52.38, 30, 210
1, 2025/05/14 15:55:51.195, 0, 1, 40960, 54.14, 28, 210
2, 2025/05/14 15:55:51.196, 0, 1, 40960, 51.73, 28, 210
3, 2025/05/14 15:55:51.196, 0, 1, 40960, 55.53, 29, 210
0, 2025/05/14 15:55:52.197, 0, 1, 40960, 52.38, 30, 210
1, 2025/05/14 15:55:52.197, 0, 1, 40960, 54.14, 28, 210
2, 2025/05/14 15:55:52.197, 0, 1, 40960, 52.06, 28, 210
3, 2025/05/14 15:55:52.198, 0, 1, 40960, 55.53, 29, 210
0, 2025/05/14 15:55:53.198, 0, 1, 40960, 52.38, 30, 210
1, 2025/05/14 15:55:53.198, 0, 1, 40960, 54.14, 28, 210
2, 2025/05/14 15:55:53.198, 0, 1, 40960, 52.06, 28, 210
3, 2025/05/14 15:55:53.199, 0, 1, 40960, 55.53, 29, 210
0, 2025/05/14 15:55:54.199, 0, 1, 40960, 52.66, 30, 210
1, 2025/05/14 15:55:54.199, 0, 5, 40960, 54.14, 28, 210
2, 2025/05/14 15:55:54.199, 0, 1, 40960, 52.06, 28, 210
3, 2025/05/14 15:55:54.200, 0, 1, 40960, 55.80, 29, 210
0, 2025/05/14 15:55:55.200, 0, 1, 40960, 52.38, 30, 210
1, 2025/05/14 15:55:55.200, 1, 695, 40960, 58.27, 28, 1050
2, 2025/05/14 15:55:55.201, 0, 1, 40960, 52.06, 28, 210
3, 2025/05/14 15:55:55.201, 0, 1, 40960, 55.53, 29, 210
0, 2025/05/14 15:55:56.201, 0, 1, 40960, 52.38, 30, 210
1, 2025/05/14 15:55:56.202, 0, 699, 40960, 58.27, 28, 1050
2, 2025/05/14 15:55:56.202, 0, 1, 40960, 52.06, 28, 210
3, 2025/05/14 15:55:56.202, 0, 1, 40960, 55.53, 29, 210
0, 2025/05/14 15:55:57.202, 0, 1, 40960, 52.38, 30, 210
1, 2025/05/14 15:55:57.203, 0, 747, 40960, 58.27, 28, 1050
2, 2025/05/14 15:55:57.203, 0, 1, 40960, 52.06, 28, 210
3, 2025/05/14 15:55:57.203, 0, 1, 40960, 55.53, 29, 210
0, 2025/05/14 15:55:58.203, 0, 1, 40960, 52.38, 30, 210
1, 2025/05/14 15:55:58.204, 0, 757, 40960, 58.21, 28, 1050
2, 2025/05/14 15:55:58.204, 0, 1, 40960, 52.06, 28, 210
3, 2025/05/14 15:55:58.204, 0, 1, 40960, 55.80, 29, 210
0, 2025/05/14 15:55:59.204, 0, 1, 40960, 52.38, 30, 210
1, 2025/05/14 15:55:59.205, 0, 757, 40960, 58.21, 28, 1050
2, 2025/05/14 15:55:59.205, 0, 1, 40960, 52.06, 28, 210
3, 2025/05/14 15:55:59.205, 0, 1, 40960, 55.53, 29, 210
0, 2025/05/14 15:56:00.206, 0, 1, 40960, 52.38, 30, 210
1, 2025/05/14 15:56:00.206, 0, 759, 40960, 58.21, 28, 1050
2, 2025/05/14 15:56:00.206, 0, 1, 40960, 52.06, 28, 210
3, 2025/05/14 15:56:00.206, 0, 1, 40960, 55.53, 29, 210
0, 2025/05/14 15:56:01.211, 0, 1, 40960, 52.38, 30, 210
1, 2025/05/14 15:56:01.212, 0, 759, 40960, 58.27, 28, 1050
2, 2025/05/14 15:56:01.212, 0, 1, 40960, 52.06, 28, 210
3, 2025/05/14 15:56:01.213, 0, 1, 40960, 55.53, 29, 210
0, 2025/05/14 15:56:02.213, 0, 1, 40960, 52.38, 30, 210
1, 2025/05/14 15:56:02.214, 0, 759, 40960, 58.21, 28, 1050
2, 2025/05/14 15:56:02.215, 0, 1, 40960, 52.06, 28, 210
3, 2025/05/14 15:56:02.215, 0, 1, 40960, 55.53, 29, 210
0, 2025/05/14 15:56:03.216, 0, 1, 40960, 52.38, 29, 210
1, 2025/05/14 15:56:03.216, 0, 759, 40960, 58.21, 28, 1050
2, 2025/05/14 15:56:03.216, 0, 1, 40960, 52.06, 28, 210
3, 2025/05/14 15:56:03.216, 0, 1, 40960, 55.53, 29, 210
0, 2025/05/14 15:56:04.217, 0, 1, 40960, 52.66, 30, 210
1, 2025/05/14 15:56:04.217, 0, 759, 40960, 58.27, 28, 1050
2, 2025/05/14 15:56:04.217, 0, 1, 40960, 52.06, 28, 210
3, 2025/05/14 15:56:04.217, 0, 1, 40960, 55.53, 29, 210
0, 2025/05/14 15:56:05.217, 0, 1, 40960, 52.38, 29, 210
1, 2025/05/14 15:56:05.218, 0, 759, 40960, 58.21, 28, 1050
2, 2025/05/14 15:56:05.218, 0, 1, 40960, 52.06, 28, 210
3, 2025/05/14 15:56:05.218, 0, 1, 40960, 55.53, 29, 210
0, 2025/05/14 15:56:06.218, 0, 1, 40960, 52.38, 30, 210
1, 2025/05/14 15:56:06.218, 0, 759, 40960, 58.61, 28, 1050
2, 2025/05/14 15:56:06.219, 0, 1, 40960, 52.06, 28, 210
3, 2025/05/14 15:56:06.219, 0, 1, 40960, 55.80, 29, 210
0, 2025/05/14 15:56:07.219, 0, 1, 40960, 52.38, 30, 210
1, 2025/05/14 15:56:07.219, 0, 779, 40960, 58.55, 28, 1050
2, 2025/05/14 15:56:07.219, 0, 1, 40960, 52.06, 28, 210
3, 2025/05/14 15:56:07.220, 0, 1, 40960, 55.53, 29, 210
0, 2025/05/14 15:56:08.220, 0, 1, 40960, 52.38, 29, 210
