gpu.id,timestamp,utilization.gpu,memory.used,memory.total,power.draw,temperature.gpu,clocks.sm
0, 2025/05/15 15:21:06.403, 0, 1, 40960, 61.38, 30, 1095
1, 2025/05/15 15:21:06.403, 0, 1, 40960, 59.24, 29, 1095
2, 2025/05/15 15:21:06.404, 0, 1, 40960, 53.32, 28, 210
3, 2025/05/15 15:21:06.404, 0, 1, 40960, 55.35, 29, 210
0, 2025/05/15 15:21:07.405, 0, 1, 40960, 61.38, 30, 1095
1, 2025/05/15 15:21:07.405, 0, 1, 40960, 58.97, 29, 1095
2, 2025/05/15 15:21:07.406, 0, 1, 40960, 53.32, 28, 210
3, 2025/05/15 15:21:07.406, 0, 1, 40960, 55.35, 29, 210
0, 2025/05/15 15:21:08.406, 0, 1, 40960, 61.10, 30, 1095
1, 2025/05/15 15:21:08.407, 0, 1, 40960, 59.24, 29, 1095
2, 2025/05/15 15:21:08.407, 0, 1, 40960, 53.32, 28, 210
3, 2025/05/15 15:21:08.407, 0, 1, 40960, 55.35, 29, 210
0, 2025/05/15 15:21:09.407, 0, 1, 40960, 61.38, 30, 1095
1, 2025/05/15 15:21:09.408, 0, 1, 40960, 59.24, 29, 1095
2, 2025/05/15 15:21:09.408, 0, 1, 40960, 53.32, 28, 210
3, 2025/05/15 15:21:09.408, 0, 1, 40960, 55.35, 29, 210
0, 2025/05/15 15:21:10.408, 0, 1, 40960, 61.38, 30, 1095
1, 2025/05/15 15:21:10.409, 0, 1, 40960, 59.58, 29, 1095
2, 2025/05/15 15:21:10.409, 0, 1, 40960, 53.32, 28, 210
3, 2025/05/15 15:21:10.409, 0, 1, 40960, 55.35, 29, 210
0, 2025/05/15 15:21:11.409, 0, 1, 40960, 61.38, 30, 1095
1, 2025/05/15 15:21:11.409, 0, 1, 40960, 59.24, 29, 1095
2, 2025/05/15 15:21:11.409, 0, 1, 40960, 53.32, 28, 210
3, 2025/05/15 15:21:11.410, 0, 1, 40960, 55.35, 29, 210
0, 2025/05/15 15:21:12.410, 0, 1, 40960, 61.38, 30, 1095
1, 2025/05/15 15:21:12.410, 0, 1, 40960, 58.97, 29, 1095
2, 2025/05/15 15:21:12.410, 0, 1, 40960, 53.32, 28, 210
3, 2025/05/15 15:21:12.411, 0, 1, 40960, 55.35, 29, 210
0, 2025/05/15 15:21:13.411, 0, 1, 40960, 61.38, 30, 1095
1, 2025/05/15 15:21:13.411, 0, 1, 40960, 59.24, 29, 1095
2, 2025/05/15 15:21:13.411, 0, 1, 40960, 53.32, 28, 210
3, 2025/05/15 15:21:13.411, 0, 1, 40960, 55.35, 29, 210
0, 2025/05/15 15:21:14.412, 0, 1, 40960, 61.38, 30, 1095
1, 2025/05/15 15:21:14.412, 0, 1, 40960, 58.97, 29, 1095
2, 2025/05/15 15:21:14.412, 0, 1, 40960, 53.32, 28, 210
3, 2025/05/15 15:21:14.412, 0, 1, 40960, 55.35, 29, 210
0, 2025/05/15 15:21:15.412, 0, 1, 40960, 61.38, 30, 1095
1, 2025/05/15 15:21:15.413, 0, 1, 40960, 58.97, 29, 1095
2, 2025/05/15 15:21:15.413, 0, 1, 40960, 53.32, 28, 210
3, 2025/05/15 15:21:15.413, 0, 1, 40960, 55.35, 29, 210
0, 2025/05/15 15:21:16.413, 0, 1, 40960, 61.44, 30, 1095
1, 2025/05/15 15:21:16.414, 0, 1, 40960, 58.97, 29, 1095
2, 2025/05/15 15:21:16.414, 0, 1, 40960, 53.32, 28, 210
3, 2025/05/15 15:21:16.414, 0, 1, 40960, 55.35, 29, 210
0, 2025/05/15 15:21:17.414, 0, 1, 40960, 61.38, 30, 1095
1, 2025/05/15 15:21:17.415, 0, 1, 40960, 59.24, 29, 1095
2, 2025/05/15 15:21:17.415, 0, 1, 40960, 53.32, 28, 210
3, 2025/05/15 15:21:17.415, 0, 1, 40960, 55.35, 29, 210
0, 2025/05/15 15:21:18.415, 0, 1, 40960, 61.38, 30, 1095
1, 2025/05/15 15:21:18.416, 0, 1, 40960, 59.24, 29, 1095
2, 2025/05/15 15:21:18.416, 0, 1, 40960, 53.32, 28, 210
3, 2025/05/15 15:21:18.416, 0, 1, 40960, 55.35, 29, 210
0, 2025/05/15 15:21:19.416, 0, 1, 40960, 61.38, 30, 1095
1, 2025/05/15 15:21:19.416, 0, 1, 40960, 58.97, 29, 1095
2, 2025/05/15 15:21:19.417, 0, 1, 40960, 53.32, 28, 210
3, 2025/05/15 15:21:19.417, 0, 1, 40960, 55.35, 29, 210
0, 2025/05/15 15:21:20.417, 0, 1, 40960, 61.38, 30, 1095
1, 2025/05/15 15:21:20.417, 0, 1, 40960, 58.97, 29, 1095
2, 2025/05/15 15:21:20.417, 0, 1, 40960, 53.32, 28, 210
3, 2025/05/15 15:21:20.418, 0, 1, 40960, 55.35, 29, 210
0, 2025/05/15 15:21:21.418, 0, 5, 40960, 61.38, 30, 1095
1, 2025/05/15 15:21:21.418, 0, 1, 40960, 58.97, 29, 1095
2, 2025/05/15 15:21:21.419, 0, 1, 40960, 53.32, 28, 210
3, 2025/05/15 15:21:21.419, 0, 1, 40960, 55.35, 29, 210
0, 2025/05/15 15:21:22.419, 0, 79, 40960, 64.63, 30, 1095
1, 2025/05/15 15:21:22.425, 0, 1, 40960, 58.97, 29, 1095
2, 2025/05/15 15:21:22.431, 0, 1, 40960, 53.32, 28, 210
3, 2025/05/15 15:21:22.435, 0, 1, 40960, 55.35, 29, 210
0, 2025/05/15 15:21:23.436, 99, 4989, 40960, 134.06, 32, 1095
1, 2025/05/15 15:21:23.437, 0, 1, 40960, 58.97, 29, 1095
2, 2025/05/15 15:21:23.437, 0, 1, 40960, 53.32, 28, 210
3, 2025/05/15 15:21:23.437, 0, 1, 40960, 55.35, 29, 210
0, 2025/05/15 15:21:24.437, 1, 4991, 40960, 63.75, 31, 1095
1, 2025/05/15 15:21:24.438, 0, 1, 40960, 59.24, 29, 1095
2, 2025/05/15 15:21:24.438, 0, 1, 40960, 53.32, 28, 210
3, 2025/05/15 15:21:24.438, 0, 1, 40960, 55.35, 29, 210
0, 2025/05/15 15:21:25.438, 42, 1252, 40960, 62.26, 30, 1095
1, 2025/05/15 15:21:25.439, 0, 1, 40960, 58.63, 29, 1095
2, 2025/05/15 15:21:25.440, 0, 1, 40960, 53.05, 28, 210
3, 2025/05/15 15:21:25.440, 0, 1, 40960, 55.35, 29, 210
