gpu.id,timestamp,utilization.gpu,memory.used,memory.total,power.draw,temperature.gpu,clocks.sm
0, 2025/05/21 15:43:35.408, 0, 1, 40960, 52.38, 30, 210
1, 2025/05/21 15:43:35.408, 0, 1, 40960, 53.87, 28, 210
2, 2025/05/21 15:43:35.409, 0, 1, 40960, 51.73, 28, 210
3, 2025/05/21 15:43:35.409, 0, 1, 40960, 55.53, 29, 210
0, 2025/05/21 15:43:36.410, 0, 1, 40960, 52.38, 30, 210
1, 2025/05/21 15:43:36.410, 0, 1, 40960, 53.87, 28, 210
2, 2025/05/21 15:43:36.411, 0, 1, 40960, 51.73, 28, 210
3, 2025/05/21 15:43:36.411, 0, 1, 40960, 55.53, 29, 210
0, 2025/05/21 15:43:37.411, 0, 1, 40960, 52.38, 30, 210
1, 2025/05/21 15:43:37.412, 0, 1, 40960, 53.87, 28, 210
2, 2025/05/21 15:43:37.412, 0, 1, 40960, 51.73, 28, 210
3, 2025/05/21 15:43:37.412, 0, 1, 40960, 55.53, 29, 210
0, 2025/05/21 15:43:38.412, 0, 1, 40960, 52.38, 30, 210
1, 2025/05/21 15:43:38.413, 0, 1, 40960, 53.81, 28, 210
2, 2025/05/21 15:43:38.413, 0, 1, 40960, 51.73, 28, 210
3, 2025/05/21 15:43:38.413, 0, 1, 40960, 55.53, 29, 210
0, 2025/05/21 15:43:39.414, 0, 1, 40960, 52.38, 30, 210
1, 2025/05/21 15:43:39.414, 0, 1, 40960, 53.81, 28, 210
2, 2025/05/21 15:43:39.414, 0, 1, 40960, 51.73, 28, 210
3, 2025/05/21 15:43:39.414, 0, 1, 40960, 55.53, 29, 210
0, 2025/05/21 15:43:40.414, 0, 1, 40960, 52.38, 30, 210
1, 2025/05/21 15:43:40.415, 0, 1, 40960, 53.87, 28, 210
2, 2025/05/21 15:43:40.415, 0, 1, 40960, 51.73, 28, 210
3, 2025/05/21 15:43:40.415, 0, 1, 40960, 55.53, 29, 210
0, 2025/05/21 15:43:41.416, 0, 1, 40960, 52.38, 29, 210
1, 2025/05/21 15:43:41.416, 0, 1, 40960, 54.09, 28, 210
2, 2025/05/21 15:43:41.416, 0, 1, 40960, 51.67, 28, 210
3, 2025/05/21 15:43:41.416, 0, 1, 40960, 55.47, 29, 210
0, 2025/05/21 15:43:42.416, 0, 1, 40960, 52.38, 29, 210
1, 2025/05/21 15:43:42.417, 0, 1, 40960, 53.81, 28, 210
2, 2025/05/21 15:43:42.417, 0, 1, 40960, 51.67, 28, 210
3, 2025/05/21 15:43:42.417, 0, 1, 40960, 55.53, 29, 210
0, 2025/05/21 15:43:43.418, 0, 1, 40960, 52.38, 30, 210
1, 2025/05/21 15:43:43.418, 0, 1, 40960, 53.81, 28, 210
2, 2025/05/21 15:43:43.418, 0, 1, 40960, 51.73, 28, 210
3, 2025/05/21 15:43:43.419, 0, 1, 40960, 55.53, 29, 210
0, 2025/05/21 15:43:44.419, 0, 1, 40960, 52.38, 29, 210
1, 2025/05/21 15:43:44.419, 0, 1, 40960, 53.81, 28, 210
2, 2025/05/21 15:43:44.419, 0, 1, 40960, 51.73, 28, 210
3, 2025/05/21 15:43:44.420, 0, 1, 40960, 55.53, 29, 210
