gpu.id,timestamp,utilization.gpu,memory.used,memory.total,power.draw,temperature.gpu,clocks.sm
0, 2025/05/21 15:14:54.126, 0, 1, 40960, 61.44, 30, 1095
1, 2025/05/21 15:14:54.126, 0, 1, 40960, 58.97, 29, 1095
2, 2025/05/21 15:14:54.127, 0, 1, 40960, 53.32, 29, 210
3, 2025/05/21 15:14:54.127, 0, 1, 40960, 55.03, 29, 210
0, 2025/05/21 15:14:55.128, 0, 1, 40960, 61.38, 30, 1095
1, 2025/05/21 15:14:55.128, 0, 1, 40960, 58.97, 29, 1095
2, 2025/05/21 15:14:55.128, 0, 1, 40960, 53.32, 29, 210
3, 2025/05/21 15:14:55.128, 0, 1, 40960, 55.03, 29, 210
0, 2025/05/21 15:14:56.129, 0, 1, 40960, 61.44, 30, 1095
1, 2025/05/21 15:14:56.129, 0, 1, 40960, 58.97, 29, 1095
2, 2025/05/21 15:14:56.129, 0, 1, 40960, 53.32, 29, 210
3, 2025/05/21 15:14:56.130, 0, 1, 40960, 55.03, 29, 210
0, 2025/05/21 15:14:57.130, 0, 5, 40960, 64.42, 30, 1095
1, 2025/05/21 15:14:57.130, 0, 1, 40960, 59.24, 29, 1095
2, 2025/05/21 15:14:57.131, 0, 1, 40960, 53.32, 29, 210
3, 2025/05/21 15:14:57.131, 0, 1, 40960, 55.03, 29, 210
0, 2025/05/21 15:14:58.131, 13, 1503, 40960, 156.31, 33, 1095
1, 2025/05/21 15:14:58.131, 0, 1, 40960, 58.97, 29, 1095
2, 2025/05/21 15:14:58.132, 0, 1, 40960, 53.32, 29, 210
3, 2025/05/21 15:14:58.132, 0, 1, 40960, 55.03, 29, 210
0, 2025/05/21 15:14:59.132, 97, 2661, 40960, 137.04, 35, 1095
1, 2025/05/21 15:14:59.133, 0, 1, 40960, 58.91, 29, 1095
2, 2025/05/21 15:14:59.133, 0, 1, 40960, 53.27, 29, 210
3, 2025/05/21 15:14:59.133, 0, 1, 40960, 54.97, 29, 210
0, 2025/05/21 15:15:00.133, 97, 2661, 40960, 154.27, 36, 1095
1, 2025/05/21 15:15:00.134, 0, 1, 40960, 58.97, 29, 1095
2, 2025/05/21 15:15:00.134, 0, 1, 40960, 53.32, 29, 210
3, 2025/05/21 15:15:00.134, 0, 1, 40960, 55.03, 29, 210
0, 2025/05/21 15:15:01.134, 93, 2661, 40960, 137.93, 35, 1095
1, 2025/05/21 15:15:01.135, 0, 1, 40960, 58.97, 29, 1095
2, 2025/05/21 15:15:01.135, 0, 1, 40960, 53.32, 29, 210
3, 2025/05/21 15:15:01.135, 0, 1, 40960, 55.03, 29, 210
0, 2025/05/21 15:15:02.135, 86, 2661, 40960, 134.68, 36, 1095
1, 2025/05/21 15:15:02.136, 0, 1, 40960, 58.97, 29, 1095
2, 2025/05/21 15:15:02.136, 0, 1, 40960, 53.32, 29, 210
3, 2025/05/21 15:15:02.136, 0, 1, 40960, 55.03, 29, 210
0, 2025/05/21 15:15:03.137, 97, 2661, 40960, 155.43, 36, 1095
1, 2025/05/21 15:15:03.137, 0, 1, 40960, 58.97, 29, 1095
2, 2025/05/21 15:15:03.137, 0, 1, 40960, 53.32, 29, 210
3, 2025/05/21 15:15:03.137, 0, 1, 40960, 54.97, 29, 210
0, 2025/05/21 15:15:04.138, 97, 2661, 40960, 153.94, 37, 1095
1, 2025/05/21 15:15:04.138, 0, 1, 40960, 58.91, 29, 1095
2, 2025/05/21 15:15:04.138, 0, 1, 40960, 53.27, 29, 210
3, 2025/05/21 15:15:04.138, 0, 1, 40960, 54.97, 29, 210
0, 2025/05/21 15:15:05.139, 94, 2661, 40960, 142.68, 36, 1095
1, 2025/05/21 15:15:05.139, 0, 1, 40960, 59.24, 29, 1095
2, 2025/05/21 15:15:05.139, 0, 1, 40960, 53.32, 29, 210
3, 2025/05/21 15:15:05.140, 0, 1, 40960, 55.03, 29, 210
0, 2025/05/21 15:15:06.140, 85, 2661, 40960, 137.65, 36, 1095
1, 2025/05/21 15:15:06.140, 0, 1, 40960, 58.97, 29, 1095
2, 2025/05/21 15:15:06.140, 0, 1, 40960, 53.32, 29, 210
3, 2025/05/21 15:15:06.141, 0, 1, 40960, 55.03, 29, 210
0, 2025/05/21 15:15:07.141, 97, 2661, 40960, 155.15, 37, 1095
1, 2025/05/21 15:15:07.141, 0, 1, 40960, 58.97, 29, 1095
2, 2025/05/21 15:15:07.141, 0, 1, 40960, 53.32, 29, 210
3, 2025/05/21 15:15:07.142, 0, 1, 40960, 55.03, 29, 210
0, 2025/05/21 15:15:08.142, 97, 2661, 40960, 157.63, 37, 1095
1, 2025/05/21 15:15:08.142, 0, 1, 40960, 59.24, 29, 1095
2, 2025/05/21 15:15:08.143, 0, 1, 40960, 53.27, 29, 210
3, 2025/05/21 15:15:08.143, 0, 1, 40960, 54.97, 29, 210
0, 2025/05/21 15:15:09.143, 94, 2661, 40960, 145.05, 36, 1095
1, 2025/05/21 15:15:09.143, 0, 1, 40960, 59.18, 29, 1095
2, 2025/05/21 15:15:09.144, 0, 1, 40960, 53.27, 29, 210
3, 2025/05/21 15:15:09.144, 0, 1, 40960, 54.97, 29, 210
0, 2025/05/21 15:15:10.144, 87, 2661, 40960, 138.07, 36, 1095
1, 2025/05/21 15:15:10.145, 0, 1, 40960, 58.97, 29, 1095
2, 2025/05/21 15:15:10.145, 0, 1, 40960, 53.32, 29, 210
3, 2025/05/21 15:15:10.145, 0, 1, 40960, 55.03, 29, 210
0, 2025/05/21 15:15:11.145, 96, 2661, 40960, 161.93, 37, 1095
1, 2025/05/21 15:15:11.146, 0, 1, 40960, 59.24, 29, 1095
