timestamp,utilization.gpu,memory.used,memory.total,power.draw,temperature.gpu,clocks.sm
2025/05/14 13:40:45.047, 0, 1, 40960, 52.38, 29, 210
2025/05/14 13:40:45.048, 0, 1, 40960, 53.87, 28, 210
2025/05/14 13:40:45.048, 0, 1, 40960, 52.06, 28, 210
2025/05/14 13:40:45.048, 0, 1, 40960, 55.53, 29, 210
2025/05/14 13:40:45.148, 0, 1, 40960, 52.38, 30, 210
2025/05/14 13:40:45.149, 0, 1, 40960, 53.87, 28, 210
2025/05/14 13:40:45.149, 0, 1, 40960, 51.73, 28, 210
2025/05/14 13:40:45.149, 0, 1, 40960, 55.53, 29, 210
2025/05/14 13:40:45.249, 0, 1, 40960, 52.38, 29, 210
2025/05/14 13:40:45.250, 0, 1, 40960, 53.87, 28, 210
2025/05/14 13:40:45.250, 0, 1, 40960, 52.06, 28, 210
2025/05/14 13:40:45.250, 0, 1, 40960, 55.53, 29, 210
2025/05/14 13:40:45.351, 0, 1, 40960, 52.38, 30, 210
2025/05/14 13:40:45.351, 0, 1, 40960, 53.87, 28, 210
2025/05/14 13:40:45.351, 0, 1, 40960, 51.73, 28, 210
2025/05/14 13:40:45.351, 0, 1, 40960, 55.53, 29, 210
2025/05/14 13:40:45.452, 0, 1, 40960, 52.38, 30, 210
2025/05/14 13:40:45.452, 0, 1, 40960, 53.87, 28, 210
2025/05/14 13:40:45.452, 0, 1, 40960, 52.06, 28, 210
2025/05/14 13:40:45.452, 0, 1, 40960, 55.53, 29, 210
2025/05/14 13:40:45.553, 0, 1, 40960, 52.38, 30, 210
2025/05/14 13:40:45.553, 0, 1, 40960, 54.14, 28, 210
2025/05/14 13:40:45.553, 0, 1, 40960, 51.73, 28, 210
2025/05/14 13:40:45.554, 0, 1, 40960, 55.53, 29, 210
2025/05/14 13:40:45.654, 0, 1, 40960, 52.38, 30, 210
2025/05/14 13:40:45.654, 0, 1, 40960, 53.87, 28, 210
2025/05/14 13:40:45.655, 0, 1, 40960, 51.73, 28, 210
2025/05/14 13:40:45.655, 0, 1, 40960, 55.53, 29, 210
2025/05/14 13:40:45.755, 0, 1, 40960, 52.38, 30, 210
2025/05/14 13:40:45.757, 0, 1, 40960, 53.87, 28, 210
2025/05/14 13:40:45.757, 0, 1, 40960, 52.06, 28, 210
2025/05/14 13:40:45.757, 0, 1, 40960, 55.53, 29, 210
2025/05/14 13:40:45.857, 0, 1, 40960, 52.38, 29, 210
2025/05/14 13:40:45.857, 0, 1, 40960, 53.87, 28, 210
2025/05/14 13:40:45.858, 0, 1, 40960, 52.06, 28, 210
2025/05/14 13:40:45.858, 0, 1, 40960, 55.53, 29, 210
2025/05/14 13:40:45.958, 0, 1, 40960, 52.38, 30, 210
2025/05/14 13:40:45.958, 0, 1, 40960, 53.87, 28, 210
2025/05/14 13:40:45.959, 0, 1, 40960, 51.73, 28, 210
2025/05/14 13:40:45.959, 0, 1, 40960, 55.53, 29, 210
2025/05/14 13:40:46.059, 0, 1, 40960, 52.38, 30, 210
2025/05/14 13:40:46.059, 0, 1, 40960, 53.87, 28, 210
2025/05/14 13:40:46.060, 0, 1, 40960, 52.06, 28, 210
2025/05/14 13:40:46.060, 0, 1, 40960, 55.53, 29, 210
2025/05/14 13:40:46.160, 0, 1, 40960, 52.38, 30, 210
2025/05/14 13:40:46.160, 0, 1, 40960, 53.87, 28, 210
2025/05/14 13:40:46.161, 0, 1, 40960, 51.73, 28, 210
2025/05/14 13:40:46.161, 0, 1, 40960, 55.53, 29, 210
2025/05/14 13:40:46.261, 0, 1, 40960, 52.38, 30, 210
2025/05/14 13:40:46.261, 0, 1, 40960, 53.87, 28, 210
2025/05/14 13:40:46.261, 0, 1, 40960, 52.06, 28, 210
2025/05/14 13:40:46.262, 0, 1, 40960, 55.53, 29, 210
2025/05/14 13:40:46.362, 0, 1, 40960, 52.38, 30, 210
2025/05/14 13:40:46.362, 0, 1, 40960, 54.14, 28, 210
2025/05/14 13:40:46.362, 0, 1, 40960, 52.06, 28, 210
2025/05/14 13:40:46.363, 0, 1, 40960, 55.53, 29, 210
2025/05/14 13:40:46.463, 0, 1, 40960, 52.38, 30, 210
2025/05/14 13:40:46.463, 0, 1, 40960, 53.87, 28, 210
2025/05/14 13:40:46.463, 0, 1, 40960, 51.73, 28, 210
2025/05/14 13:40:46.464, 0, 1, 40960, 55.53, 29, 210
2025/05/14 13:40:46.564, 0, 1, 40960, 52.38, 30, 210
2025/05/14 13:40:46.564, 0, 1, 40960, 54.14, 28, 210
2025/05/14 13:40:46.565, 0, 1, 40960, 52.06, 28, 210
2025/05/14 13:40:46.565, 0, 1, 40960, 55.53, 29, 210
