gpu.id,timestamp,utilization.gpu,memory.used,memory.total,power.draw,temperature.gpu,clocks.sm
0, 2025/05/15 15:23:16.340, 0, 1, 40960, 61.38, 30, 1095
1, 2025/05/15 15:23:16.340, 0, 1, 40960, 59.24, 29, 1095
2, 2025/05/15 15:23:16.341, 0, 1, 40960, 53.32, 28, 210
3, 2025/05/15 15:23:16.343, 0, 1, 40960, 55.35, 29, 210
0, 2025/05/15 15:23:17.343, 0, 1, 40960, 61.38, 30, 1095
1, 2025/05/15 15:23:17.343, 0, 1, 40960, 59.24, 29, 1095
2, 2025/05/15 15:23:17.344, 0, 1, 40960, 53.32, 28, 210
3, 2025/05/15 15:23:17.344, 0, 1, 40960, 55.35, 29, 210
0, 2025/05/15 15:23:18.344, 0, 1, 40960, 61.38, 30, 1095
1, 2025/05/15 15:23:18.345, 0, 1, 40960, 59.24, 29, 1095
2, 2025/05/15 15:23:18.345, 0, 1, 40960, 53.32, 28, 210
3, 2025/05/15 15:23:18.345, 0, 1, 40960, 55.35, 29, 210
0, 2025/05/15 15:23:19.345, 0, 1, 40960, 61.38, 30, 1095
1, 2025/05/15 15:23:19.346, 0, 1, 40960, 59.24, 29, 1095
2, 2025/05/15 15:23:19.346, 0, 1, 40960, 53.32, 28, 210
3, 2025/05/15 15:23:19.346, 0, 1, 40960, 55.35, 29, 210
0, 2025/05/15 15:23:20.346, 0, 1, 40960, 61.38, 30, 1095
1, 2025/05/15 15:23:20.352, 0, 2, 40960, 60.47, 29, 1095
2, 2025/05/15 15:23:20.356, 0, 1, 40960, 53.32, 28, 210
3, 2025/05/15 15:23:20.362, 0, 1, 40960, 55.35, 29, 210
0, 2025/05/15 15:23:21.363, 0, 21, 40960, 61.38, 30, 1095
1, 2025/05/15 15:23:21.363, 2, 533, 40960, 60.13, 29, 1095
2, 2025/05/15 15:23:21.364, 0, 5, 40960, 55.08, 29, 750
3, 2025/05/15 15:23:21.365, 0, 22, 40960, 61.25, 29, 1050
0, 2025/05/15 15:23:22.366, 33, 1251, 40960, 135.70, 31, 1095
1, 2025/05/15 15:23:22.366, 26, 1251, 40960, 59.58, 30, 1095
2, 2025/05/15 15:23:22.366, 3, 1251, 40960, 116.61, 30, 1050
3, 2025/05/15 15:23:22.366, 26, 1251, 40960, 127.17, 31, 1050
0, 2025/05/15 15:23:23.367, 10, 1253, 40960, 67.61, 30, 1095
1, 2025/05/15 15:23:23.367, 10, 1253, 40960, 63.73, 29, 1095
2, 2025/05/15 15:23:23.367, 10, 1253, 40960, 64.01, 29, 1050
3, 2025/05/15 15:23:23.367, 10, 1253, 40960, 63.62, 30, 1050
0, 2025/05/15 15:23:24.368, 10, 1253, 40960, 66.45, 30, 1095
1, 2025/05/15 15:23:24.368, 10, 1253, 40960, 62.84, 29, 1095
2, 2025/05/15 15:23:24.368, 10, 1253, 40960, 61.92, 29, 1050
3, 2025/05/15 15:23:24.369, 9, 1253, 40960, 62.74, 30, 1050
0, 2025/05/15 15:23:25.369, 10, 1253, 40960, 65.85, 30, 1095
1, 2025/05/15 15:23:25.369, 9, 1253, 40960, 64.01, 29, 1095
2, 2025/05/15 15:23:25.369, 9, 1253, 40960, 61.32, 29, 1050
3, 2025/05/15 15:23:25.370, 9, 1253, 40960, 63.95, 30, 1050
0, 2025/05/15 15:23:26.370, 9, 1253, 40960, 65.24, 30, 1095
1, 2025/05/15 15:23:26.370, 10, 1253, 40960, 64.01, 29, 1095
2, 2025/05/15 15:23:26.371, 10, 1253, 40960, 62.52, 29, 1050
3, 2025/05/15 15:23:26.371, 9, 1253, 40960, 63.95, 30, 1050
0, 2025/05/15 15:23:27.371, 10, 1253, 40960, 67.01, 30, 1095
1, 2025/05/15 15:23:27.371, 9, 1253, 40960, 65.23, 29, 1095
2, 2025/05/15 15:23:27.372, 9, 1253, 40960, 62.52, 29, 1050
3, 2025/05/15 15:23:27.372, 9, 1253, 40960, 62.46, 30, 1050
0, 2025/05/15 15:23:28.372, 9, 1253, 40960, 65.85, 30, 1095
1, 2025/05/15 15:23:28.373, 9, 1253, 40960, 63.73, 29, 1095
2, 2025/05/15 15:23:28.373, 9, 1253, 40960, 62.81, 29, 1050
3, 2025/05/15 15:23:28.373, 10, 1253, 40960, 62.74, 30, 1050
0, 2025/05/15 15:23:29.373, 10, 1253, 40960, 66.12, 30, 1095
1, 2025/05/15 15:23:29.374, 9, 1253, 40960, 64.62, 29, 1095
2, 2025/05/15 15:23:29.374, 10, 1253, 40960, 61.65, 29, 1050
3, 2025/05/15 15:23:29.374, 10, 1253, 40960, 62.74, 30, 1050
0, 2025/05/15 15:23:30.374, 9, 1253, 40960, 67.01, 30, 1095
1, 2025/05/15 15:23:30.375, 10, 1253, 40960, 62.84, 29, 1095
2, 2025/05/15 15:23:30.375, 8, 1253, 40960, 62.81, 29, 1050
3, 2025/05/15 15:23:30.375, 9, 1253, 40960, 61.86, 30, 1050
0, 2025/05/15 15:23:31.375, 10, 1253, 40960, 65.85, 30, 1095
1, 2025/05/15 15:23:31.376, 9, 1253, 40960, 62.51, 29, 1095
2, 2025/05/15 15:23:31.376, 10, 1253, 40960, 61.03, 29, 1050
3, 2025/05/15 15:23:31.376, 9, 1253, 40960, 63.34, 30, 1050
0, 2025/05/15 15:23:32.376, 9, 1253, 40960, 65.52, 30, 1095
1, 2025/05/15 15:23:32.377, 9, 1253, 40960, 64.62, 29, 1095
2, 2025/05/15 15:23:32.377, 9, 1253, 40960, 61.92, 29, 1050
3, 2025/05/15 15:23:32.377, 9, 1253, 40960, 63.34, 30, 1050
0, 2025/05/15 15:23:33.377, 10, 1253, 40960, 65.24, 30, 1095
1, 2025/05/15 15:23:33.378, 6, 1253, 40960, 65.79, 29, 1095
2, 2025/05/15 15:23:33.378, 10, 1253, 40960, 62.19, 29, 1050
3, 2025/05/15 15:23:33.378, 10, 1253, 40960, 59.21, 30, 1050
0, 2025/05/15 15:23:34.378, 10, 1253, 40960, 64.36, 30, 1095
1, 2025/05/15 15:23:34.379, 9, 1253, 40960, 64.62, 29, 1095
2, 2025/05/15 15:23:34.379, 11, 1253, 40960, 62.81, 29, 1050
3, 2025/05/15 15:23:34.379, 10, 1253, 40960, 62.74, 30, 1050
0, 2025/05/15 15:23:35.379, 9, 1253, 40960, 64.63, 30, 1095
1, 2025/05/15 15:23:35.380, 9, 1253, 40960, 64.62, 29, 1095
2, 2025/05/15 15:23:35.380, 9, 1253, 40960, 63.41, 29, 1050
3, 2025/05/15 15:23:35.380, 10, 1253, 40960, 64.50, 30, 1050
0, 2025/05/15 15:23:36.380, 9, 1253, 40960, 64.63, 30, 1095
1, 2025/05/15 15:23:36.381, 9, 1253, 40960, 62.84, 29, 1095
2, 2025/05/15 15:23:36.381, 10, 1253, 40960, 62.19, 29, 1050
3, 2025/05/15 15:23:36.381, 10, 1253, 40960, 64.23, 30, 1050
0, 2025/05/15 15:23:37.382, 9, 1253, 40960, 64.96, 30, 1095
1, 2025/05/15 15:23:37.382, 10, 1253, 40960, 64.01, 29, 1095
2, 2025/05/15 15:23:37.382, 10, 1253, 40960, 62.19, 29, 1050
3, 2025/05/15 15:23:37.383, 9, 1253, 40960, 64.23, 30, 1050
0, 2025/05/15 15:23:38.383, 9, 1253, 40960, 67.01, 30, 1095
1, 2025/05/15 15:23:38.383, 9, 1253, 40960, 63.40, 29, 1095
2, 2025/05/15 15:23:38.383, 9, 1253, 40960, 62.52, 29, 1050
3, 2025/05/15 15:23:38.384, 10, 1253, 40960, 63.01, 30, 1050
0, 2025/05/15 15:23:39.384, 10, 1253, 40960, 64.08, 30, 1095
1, 2025/05/15 15:23:39.384, 9, 1253, 40960, 63.40, 29, 1095
2, 2025/05/15 15:23:39.384, 10, 1253, 40960, 61.32, 29, 1050
3, 2025/05/15 15:23:39.385, 9, 1253, 40960, 63.62, 30, 1050
0, 2025/05/15 15:23:40.385, 9, 1253, 40960, 67.89, 30, 1095
1, 2025/05/15 15:23:40.385, 9, 1253, 40960, 65.50, 29, 1095
2, 2025/05/15 15:23:40.385, 10, 1253, 40960, 61.32, 29, 1050
3, 2025/05/15 15:23:40.386, 9, 1253, 40960, 64.23, 30, 1050
0, 2025/05/15 15:23:41.386, 9, 1253, 40960, 64.96, 30, 1095
1, 2025/05/15 15:23:41.386, 9, 1253, 40960, 61.96, 29, 1095
2, 2025/05/15 15:23:41.387, 10, 1253, 40960, 61.92, 29, 1050
3, 2025/05/15 15:23:41.387, 10, 1253, 40960, 62.74, 30, 1050
0, 2025/05/15 15:23:42.387, 9, 1253, 40960, 65.52, 30, 1095
1, 2025/05/15 15:23:42.387, 10, 1253, 40960, 62.84, 29, 1095
2, 2025/05/15 15:23:42.388, 10, 1253, 40960, 61.65, 29, 1050
3, 2025/05/15 15:23:42.388, 9, 1253, 40960, 64.50, 30, 1050
0, 2025/05/15 15:23:43.388, 9, 1253, 40960, 64.36, 30, 1095
1, 2025/05/15 15:23:43.388, 10, 1253, 40960, 64.62, 29, 1095
2, 2025/05/15 15:23:43.389, 10, 1253, 40960, 61.92, 29, 1050
3, 2025/05/15 15:23:43.389, 9, 1253, 40960, 63.34, 30, 1050
0, 2025/05/15 15:23:44.389, 8, 1253, 40960, 68.83, 30, 1095
1, 2025/05/15 15:23:44.389, 10, 1253, 40960, 64.34, 29, 1095
2, 2025/05/15 15:23:44.390, 1, 1253, 40960, 63.68, 29, 1050
3, 2025/05/15 15:23:44.390, 11, 1253, 40960, 63.62, 30, 1050
0, 2025/05/15 15:23:45.390, 9, 1253, 40960, 64.63, 30, 1095
1, 2025/05/15 15:23:45.390, 9, 1253, 40960, 62.84, 29, 1095
2, 2025/05/15 15:23:45.391, 10, 1253, 40960, 62.52, 29, 1050
3, 2025/05/15 15:23:45.391, 10, 1253, 40960, 64.23, 30, 1050
0, 2025/05/15 15:23:46.391, 9, 1253, 40960, 66.73, 30, 1095
1, 2025/05/15 15:23:46.391, 9, 1253, 40960, 64.34, 29, 1095
2, 2025/05/15 15:23:46.392, 10, 1253, 40960, 61.03, 29, 1050
3, 2025/05/15 15:23:46.392, 9, 1253, 40960, 63.95, 30, 1050
0, 2025/05/15 15:23:47.392, 9, 1253, 40960, 64.96, 30, 1095
1, 2025/05/15 15:23:47.392, 10, 1253, 40960, 62.24, 29, 1095
2, 2025/05/15 15:23:47.393, 9, 1253, 40960, 61.32, 29, 1050
3, 2025/05/15 15:23:47.393, 10, 1253, 40960, 63.95, 30, 1050
0, 2025/05/15 15:23:48.393, 9, 1253, 40960, 64.96, 30, 1095
1, 2025/05/15 15:23:48.394, 9, 1253, 40960, 65.23, 29, 1095
2, 2025/05/15 15:23:48.394, 10, 1253, 40960, 62.52, 29, 1050
3, 2025/05/15 15:23:48.394, 9, 1253, 40960, 63.95, 30, 1050
0, 2025/05/15 15:23:49.394, 9, 1253, 40960, 67.01, 30, 1095
1, 2025/05/15 15:23:49.394, 9, 1253, 40960, 63.73, 29, 1095
2, 2025/05/15 15:23:49.395, 10, 1253, 40960, 62.52, 29, 1050
3, 2025/05/15 15:23:49.395, 9, 1253, 40960, 62.46, 30, 1050
0, 2025/05/15 15:23:50.395, 9, 1253, 40960, 65.52, 30, 1095
1, 2025/05/15 15:23:50.396, 10, 1253, 40960, 62.84, 29, 1095
2, 2025/05/15 15:23:50.396, 9, 1253, 40960, 62.52, 29, 1050
3, 2025/05/15 15:23:50.396, 9, 1253, 40960, 62.74, 30, 1050
0, 2025/05/15 15:23:51.396, 9, 1253, 40960, 66.12, 30, 1095
1, 2025/05/15 15:23:51.397, 9, 1253, 40960, 64.01, 29, 1095
2, 2025/05/15 15:23:51.397, 9, 1253, 40960, 61.92, 29, 1050
3, 2025/05/15 15:23:51.397, 9, 1253, 40960, 63.62, 30, 1050
0, 2025/05/15 15:23:52.397, 9, 1253, 40960, 66.12, 30, 1095
1, 2025/05/15 15:23:52.398, 10, 1253, 40960, 63.13, 29, 1095
2, 2025/05/15 15:23:52.398, 9, 1253, 40960, 63.08, 29, 1050
3, 2025/05/15 15:23:52.398, 9, 1253, 40960, 64.23, 30, 1050
0, 2025/05/15 15:23:53.398, 10, 1253, 40960, 64.63, 30, 1095
1, 2025/05/15 15:23:53.399, 9, 1253, 40960, 63.73, 29, 1095
2, 2025/05/15 15:23:53.399, 9, 1253, 40960, 61.92, 29, 1050
3, 2025/05/15 15:23:53.399, 9, 1253, 40960, 64.23, 30, 1050
0, 2025/05/15 15:23:54.399, 10, 1253, 40960, 64.63, 30, 1095
1, 2025/05/15 15:23:54.401, 4, 1253, 40960, 59.24, 29, 1095
2, 2025/05/15 15:23:54.401, 10, 1253, 40960, 61.65, 29, 1050
3, 2025/05/15 15:23:54.401, 10, 1253, 40960, 63.62, 30, 1050
0, 2025/05/15 15:23:55.401, 11, 1253, 40960, 65.24, 30, 1095
1, 2025/05/15 15:23:55.402, 10, 1253, 40960, 64.34, 29, 1095
2, 2025/05/15 15:23:55.402, 11, 1253, 40960, 63.41, 29, 1050
3, 2025/05/15 15:23:55.402, 11, 1253, 40960, 63.95, 30, 1050
0, 2025/05/15 15:23:56.402, 10, 1253, 40960, 66.73, 30, 1095
1, 2025/05/15 15:23:56.403, 9, 1253, 40960, 62.51, 29, 1095
2, 2025/05/15 15:23:56.403, 10, 1253, 40960, 62.52, 29, 1050
3, 2025/05/15 15:23:56.403, 10, 1253, 40960, 65.10, 30, 1050
0, 2025/05/15 15:23:57.403, 9, 1253, 40960, 65.52, 30, 1095
1, 2025/05/15 15:23:57.404, 9, 1253, 40960, 62.84, 29, 1095
2, 2025/05/15 15:23:57.404, 10, 1253, 40960, 62.81, 29, 1050
3, 2025/05/15 15:23:57.404, 9, 1253, 40960, 64.83, 30, 1050
0, 2025/05/15 15:23:58.404, 9, 1253, 40960, 64.96, 30, 1095
1, 2025/05/15 15:23:58.405, 10, 1253, 40960, 62.24, 29, 1095
2, 2025/05/15 15:23:58.405, 10, 1253, 40960, 62.81, 29, 1050
3, 2025/05/15 15:23:58.405, 9, 1253, 40960, 63.34, 30, 1050
0, 2025/05/15 15:23:59.406, 10, 1253, 40960, 64.63, 30, 1095
1, 2025/05/15 15:23:59.406, 9, 1253, 40960, 63.40, 29, 1095
2, 2025/05/15 15:23:59.406, 10, 1253, 40960, 63.08, 29, 1050
