gpu.id,timestamp,utilization.gpu,memory.used,memory.total,power.draw,temperature.gpu,clocks.sm
0, 2025/05/15 15:10:54.578, 0, 1, 40960, 61.38, 30, 1095
1, 2025/05/15 15:10:54.578, 0, 1, 40960, 58.97, 29, 1095
2, 2025/05/15 15:10:54.579, 0, 1, 40960, 53.32, 28, 210
3, 2025/05/15 15:10:54.579, 0, 1, 40960, 55.35, 29, 210
0, 2025/05/15 15:10:55.580, 0, 1, 40960, 61.38, 30, 1095
1, 2025/05/15 15:10:55.580, 0, 1, 40960, 58.97, 29, 1095
2, 2025/05/15 15:10:55.580, 0, 1, 40960, 53.32, 28, 210
3, 2025/05/15 15:10:55.580, 0, 1, 40960, 55.35, 29, 210
0, 2025/05/15 15:10:56.581, 0, 1, 40960, 61.38, 30, 1095
1, 2025/05/15 15:10:56.581, 0, 1, 40960, 59.24, 29, 1095
2, 2025/05/15 15:10:56.581, 0, 1, 40960, 53.32, 28, 210
3, 2025/05/15 15:10:56.581, 0, 1, 40960, 55.35, 29, 210
0, 2025/05/15 15:10:57.582, 0, 1, 40960, 61.38, 30, 1095
1, 2025/05/15 15:10:57.582, 0, 1, 40960, 58.97, 29, 1095
2, 2025/05/15 15:10:57.582, 0, 1, 40960, 53.32, 28, 210
3, 2025/05/15 15:10:57.583, 0, 1, 40960, 55.35, 29, 210
0, 2025/05/15 15:10:58.583, 0, 1, 40960, 61.38, 30, 1095
1, 2025/05/15 15:10:58.583, 0, 1, 40960, 58.97, 29, 1095
2, 2025/05/15 15:10:58.583, 0, 1, 40960, 53.05, 28, 210
3, 2025/05/15 15:10:58.583, 0, 1, 40960, 55.35, 29, 210
0, 2025/05/15 15:10:59.584, 0, 5, 40960, 61.38, 30, 1095
1, 2025/05/15 15:10:59.584, 0, 1, 40960, 58.97, 29, 1095
2, 2025/05/15 15:10:59.584, 0, 1, 40960, 53.32, 28, 210
3, 2025/05/15 15:10:59.585, 0, 1, 40960, 55.35, 29, 210
0, 2025/05/15 15:11:00.585, 0, 76, 40960, 64.63, 30, 1095
1, 2025/05/15 15:11:00.586, 0, 1, 40960, 58.97, 29, 1095
2, 2025/05/15 15:11:00.587, 0, 1, 40960, 53.32, 28, 210
3, 2025/05/15 15:11:00.590, 0, 1, 40960, 55.35, 29, 210
0, 2025/05/15 15:11:01.596, 78, 4989, 40960, 134.06, 32, 1095
1, 2025/05/15 15:11:01.596, 0, 1, 40960, 58.97, 29, 1095
2, 2025/05/15 15:11:01.597, 0, 1, 40960, 53.32, 28, 210
3, 2025/05/15 15:11:01.597, 0, 1, 40960, 55.35, 29, 210
0, 2025/05/15 15:11:02.597, 48, 4995, 40960, 65.52, 31, 1095
1, 2025/05/15 15:11:02.597, 0, 1, 40960, 59.24, 29, 1095
2, 2025/05/15 15:11:02.598, 0, 1, 40960, 53.32, 28, 210
3, 2025/05/15 15:11:02.598, 0, 1, 40960, 55.35, 29, 210
0, 2025/05/15 15:11:03.598, 46, 1251, 40960, 64.08, 30, 1095
1, 2025/05/15 15:11:03.598, 0, 1, 40960, 58.97, 29, 1095
2, 2025/05/15 15:11:03.599, 0, 1, 40960, 53.32, 28, 210
3, 2025/05/15 15:11:03.600, 0, 1, 40960, 55.35, 29, 210
