gpu.id,timestamp,utilization.gpu,memory.used,memory.total,power.draw,temperature.gpu,clocks.sm
0, 2025/05/15 10:10:48.578, 0, 1, 40960, 61.38, 30, 1095
1, 2025/05/15 10:10:48.578, 0, 1, 40960, 58.97, 29, 1095
2, 2025/05/15 10:10:48.579, 0, 1, 40960, 53.32, 29, 210
3, 2025/05/15 10:10:48.579, 0, 1, 40960, 54.97, 29, 210
0, 2025/05/15 10:10:49.580, 0, 1, 40960, 61.38, 30, 1095
1, 2025/05/15 10:10:49.580, 0, 1, 40960, 59.24, 29, 1095
2, 2025/05/15 10:10:49.580, 0, 1, 40960, 53.32, 29, 210
3, 2025/05/15 10:10:49.581, 0, 1, 40960, 55.03, 29, 210
0, 2025/05/15 10:10:50.581, 0, 1, 40960, 61.38, 30, 1095
1, 2025/05/15 10:10:50.581, 0, 1, 40960, 58.91, 29, 1095
2, 2025/05/15 10:10:50.581, 0, 1, 40960, 53.32, 29, 210
3, 2025/05/15 10:10:50.582, 0, 1, 40960, 54.97, 29, 210
0, 2025/05/15 10:10:51.582, 0, 1, 40960, 61.38, 30, 1095
1, 2025/05/15 10:10:51.582, 0, 1, 40960, 59.24, 29, 1095
2, 2025/05/15 10:10:51.582, 0, 1, 40960, 53.32, 29, 210
3, 2025/05/15 10:10:51.583, 0, 1, 40960, 54.97, 29, 210
0, 2025/05/15 10:10:52.583, 0, 1, 40960, 61.38, 30, 1095
1, 2025/05/15 10:10:52.583, 0, 1, 40960, 58.97, 29, 1095
2, 2025/05/15 10:10:52.583, 0, 1, 40960, 53.32, 29, 210
3, 2025/05/15 10:10:52.583, 0, 1, 40960, 54.97, 29, 210
0, 2025/05/15 10:10:53.584, 0, 1, 40960, 61.38, 30, 1095
1, 2025/05/15 10:10:53.584, 0, 1, 40960, 58.97, 29, 1095
2, 2025/05/15 10:10:53.584, 0, 1, 40960, 53.32, 29, 210
3, 2025/05/15 10:10:53.584, 0, 1, 40960, 54.97, 29, 210
0, 2025/05/15 10:10:54.584, 0, 1, 40960, 61.38, 30, 1095
1, 2025/05/15 10:10:54.585, 0, 1, 40960, 58.97, 29, 1095
2, 2025/05/15 10:10:54.585, 0, 1, 40960, 53.27, 29, 210
3, 2025/05/15 10:10:54.585, 0, 1, 40960, 54.97, 29, 210
0, 2025/05/15 10:10:55.585, 0, 1, 40960, 61.38, 30, 1095
1, 2025/05/15 10:10:55.585, 0, 1, 40960, 58.97, 29, 1095
2, 2025/05/15 10:10:55.586, 0, 1, 40960, 53.32, 29, 210
3, 2025/05/15 10:10:55.586, 0, 1, 40960, 54.97, 29, 210
0, 2025/05/15 10:10:56.586, 0, 1, 40960, 61.38, 30, 1095
1, 2025/05/15 10:10:56.586, 0, 1, 40960, 58.97, 29, 1095
2, 2025/05/15 10:10:56.586, 0, 1, 40960, 53.27, 29, 210
3, 2025/05/15 10:10:56.587, 0, 1, 40960, 54.97, 29, 210
0, 2025/05/15 10:10:57.587, 0, 1, 40960, 61.38, 30, 1095
1, 2025/05/15 10:10:57.587, 0, 1, 40960, 58.91, 29, 1095
2, 2025/05/15 10:10:57.587, 0, 1, 40960, 53.32, 29, 210
3, 2025/05/15 10:10:57.587, 0, 1, 40960, 54.97, 29, 210
0, 2025/05/15 10:10:58.588, 0, 1, 40960, 61.38, 30, 1095
1, 2025/05/15 10:10:58.588, 0, 1, 40960, 59.18, 29, 1095
2, 2025/05/15 10:10:58.588, 0, 1, 40960, 53.59, 29, 210
3, 2025/05/15 10:10:58.596, 0, 1, 40960, 54.97, 29, 210
