timestamp,utilization.gpu,memory.used,memory.total,power.draw,temperature.gpu,clocks.sm
2025/05/13 13:50:54.326, 0, 1, 40960, 61.38, 30, 1095
2025/05/13 13:50:54.327, 0, 1, 40960, 58.91, 29, 1095
2025/05/13 13:50:54.327, 0, 1, 40960, 53.27, 28, 210
2025/05/13 13:50:54.328, 0, 1, 40960, 54.97, 29, 210
2025/05/13 13:50:59.329, 10, 965, 40960, 61.38, 30, 1095
2025/05/13 13:50:59.329, 0, 5, 40960, 58.91, 29, 1095
2025/05/13 13:50:59.329, 0, 5, 40960, 54.75, 29, 705
2025/05/13 13:50:59.329, 0, 5, 40960, 54.97, 29, 210
2025/05/13 13:51:04.330, 89, 2663, 40960, 151.13, 36, 1095
2025/05/13 13:51:04.330, 0, 5, 40960, 58.91, 29, 1095
2025/05/13 13:51:04.330, 0, 5, 40960, 53.27, 28, 210
2025/05/13 13:51:04.331, 0, 5, 40960, 54.97, 29, 210
2025/05/13 13:51:09.332, 89, 2663, 40960, 154.11, 37, 1095
2025/05/13 13:51:09.332, 0, 5, 40960, 59.18, 29, 1095
2025/05/13 13:51:09.332, 0, 5, 40960, 53.27, 28, 210
2025/05/13 13:51:09.332, 0, 5, 40960, 54.97, 29, 210
2025/05/13 13:51:14.333, 97, 2663, 40960, 159.73, 37, 1095
2025/05/13 13:51:14.333, 0, 5, 40960, 58.91, 29, 1095
2025/05/13 13:51:14.333, 0, 5, 40960, 53.27, 28, 210
2025/05/13 13:51:14.333, 0, 5, 40960, 54.97, 29, 210
2025/05/13 13:51:19.335, 96, 2663, 40960, 154.11, 37, 1095
2025/05/13 13:51:19.335, 0, 5, 40960, 59.18, 29, 1095
2025/05/13 13:51:19.335, 0, 5, 40960, 53.27, 28, 210
2025/05/13 13:51:19.335, 0, 5, 40960, 54.97, 29, 210
2025/05/13 13:51:24.336, 93, 2663, 40960, 152.62, 37, 1095
2025/05/13 13:51:24.336, 0, 5, 40960, 59.18, 29, 1095
2025/05/13 13:51:24.337, 0, 5, 40960, 53.27, 28, 210
2025/05/13 13:51:24.337, 0, 5, 40960, 54.97, 29, 210
2025/05/13 13:51:29.337, 97, 2663, 40960, 137.18, 36, 1095
2025/05/13 13:51:29.338, 0, 5, 40960, 58.91, 29, 1095
2025/05/13 13:51:29.338, 0, 5, 40960, 53.27, 28, 210
2025/05/13 13:51:29.338, 0, 5, 40960, 54.97, 29, 210
2025/05/13 13:51:34.339, 94, 2663, 40960, 160.01, 37, 1095
2025/05/13 13:51:34.339, 0, 5, 40960, 59.18, 29, 1095
2025/05/13 13:51:34.339, 0, 5, 40960, 53.27, 28, 210
2025/05/13 13:51:34.339, 0, 5, 40960, 54.97, 29, 210
2025/05/13 13:51:39.340, 84, 2663, 40960, 154.66, 37, 1095
2025/05/13 13:51:39.340, 0, 5, 40960, 59.18, 29, 1095
2025/05/13 13:51:39.340, 0, 5, 40960, 53.27, 28, 210
2025/05/13 13:51:39.341, 0, 5, 40960, 54.91, 29, 210
2025/05/13 13:51:44.341, 94, 2663, 40960, 140.76, 37, 1095
2025/05/13 13:51:44.342, 0, 5, 40960, 59.18, 29, 1095
2025/05/13 13:51:44.342, 0, 5, 40960, 52.99, 28, 210
2025/05/13 13:51:44.342, 0, 5, 40960, 54.97, 29, 210
2025/05/13 13:51:49.342, 96, 2663, 40960, 150.86, 37, 1095
2025/05/13 13:51:49.343, 0, 5, 40960, 59.18, 29, 1095
2025/05/13 13:51:49.343, 0, 5, 40960, 53.27, 28, 210
2025/05/13 13:51:49.343, 0, 5, 40960, 54.97, 29, 210
2025/05/13 13:51:54.344, 97, 2663, 40960, 134.39, 36, 1095
2025/05/13 13:51:54.344, 0, 5, 40960, 58.97, 29, 1095
2025/05/13 13:51:54.344, 0, 5, 40960, 53.27, 28, 210
2025/05/13 13:51:54.345, 0, 5, 40960, 54.97, 29, 210
2025/05/13 13:51:59.345, 86, 2663, 40960, 136.03, 36, 1095
2025/05/13 13:51:59.345, 0, 5, 40960, 59.18, 29, 1095
2025/05/13 13:51:59.346, 0, 5, 40960, 53.27, 28, 210
2025/05/13 13:51:59.346, 0, 5, 40960, 54.97, 29, 210
2025/05/13 13:52:04.346, 88, 2663, 40960, 157.36, 37, 1095
2025/05/13 13:52:04.347, 0, 5, 40960, 58.91, 29, 1095
2025/05/13 13:52:04.347, 0, 5, 40960, 53.27, 28, 210
2025/05/13 13:52:04.347, 0, 5, 40960, 54.97, 29, 210
2025/05/13 13:52:09.348, 90, 2663, 40960, 149.36, 37, 1095
2025/05/13 13:52:09.348, 0, 5, 40960, 59.18, 29, 1095
2025/05/13 13:52:09.348, 0, 5, 40960, 53.27, 28, 210
2025/05/13 13:52:09.348, 0, 5, 40960, 54.97, 29, 210
