gpu.id,timestamp,utilization.gpu,memory.used,memory.total,power.draw,temperature.gpu,clocks.sm
0, 2025/05/15 09:59:02.970, 0, 1, 40960, 61.10, 30, 1095
1, 2025/05/15 09:59:02.971, 0, 1, 40960, 59.24, 29, 1095
2, 2025/05/15 09:59:02.972, 0, 1, 40960, 53.32, 28, 210
3, 2025/05/15 09:59:02.972, 0, 1, 40960, 54.97, 29, 210
0, 2025/05/15 09:59:03.975, 0, 1, 40960, 61.10, 30, 1095
1, 2025/05/15 09:59:03.975, 0, 1, 40960, 58.97, 29, 1095
2, 2025/05/15 09:59:03.975, 0, 1, 40960, 53.05, 28, 210
3, 2025/05/15 09:59:03.976, 0, 1, 40960, 54.97, 29, 210
0, 2025/05/15 09:59:04.976, 0, 1, 40960, 61.10, 30, 1095
1, 2025/05/15 09:59:04.976, 0, 1, 40960, 58.91, 29, 1095
2, 2025/05/15 09:59:04.977, 0, 1, 40960, 53.32, 28, 210
3, 2025/05/15 09:59:04.977, 0, 1, 40960, 54.97, 29, 210
0, 2025/05/15 09:59:05.977, 0, 1, 40960, 61.10, 30, 1095
1, 2025/05/15 09:59:05.977, 0, 1, 40960, 58.97, 29, 1095
2, 2025/05/15 09:59:05.978, 0, 1, 40960, 52.99, 28, 210
3, 2025/05/15 09:59:05.978, 0, 1, 40960, 54.97, 29, 210
